DAC0_V,DAC1_V,Diff0_V,Diff1_V,ADS0_V,ADS1_V,ADS0_Raw,ADS1_Raw,DAC0_Raw,DAC1_Raw,Vref
1.36255,1.36255,-0.00084,0.00336,1.36339,1.35919,7271.40,7249.00,8900,8900,5.01647
1.37771,1.37771,-0.00126,0.00219,1.37897,1.37552,7354.50,7336.10,9000,9000,5.01592
1.39311,1.39311,-0.00048,0.00293,1.39359,1.39018,7432.50,7414.30,9100,9100,5.01628
1.40838,1.40838,-0.00110,0.00244,1.40948,1.40593,7517.20,7498.30,9200,9200,5.01611
1.42357,1.42357,-0.00103,0.00422,1.42461,1.41936,7597.90,7569.90,9300,9300,5.01572
1.43900,1.43900,-0.00140,0.00402,1.44039,1.43498,7682.10,7653.20,9400,9400,5.01613
1.45429,1.45429,-0.00065,0.00400,1.45494,1.45029,7759.70,7734.90,9500,9500,5.01608
1.46952,1.46952,-0.00135,0.00325,1.47086,1.46627,7844.60,7820.10,9600,9600,5.01579
1.48496,1.48496,-0.00053,0.00416,1.48549,1.48080,7922.60,7897.60,9700,9700,5.01626
1.50030,1.50030,-0.00103,0.00345,1.50133,1.49685,8007.10,7983.20,9800,9800,5.01636
1.51573,1.51573,-0.00034,0.00429,1.51607,1.51144,8085.70,8061.00,9900,9900,5.01675
1.53100,1.53100,-0.00080,0.00295,1.53180,1.52805,8169.60,8149.60,10000,10000,5.01662
1.54619,1.54619,-0.00018,0.00367,1.54637,1.54252,8247.30,8226.80,10100,10100,5.01624
1.56166,1.56166,-0.00055,0.00333,1.56221,1.55833,8331.80,8311.10,10200,10200,5.01675
1.57705,1.57705,-0.00101,0.00561,1.57806,1.57144,8416.30,8381.00,10300,10300,5.01699
1.59214,1.59214,-0.00195,0.00477,1.59409,1.58738,8501.80,8466.00,10400,10400,5.01632
1.60747,1.60747,-0.00117,0.00479,1.60864,1.60267,8579.40,8547.60,10500,10500,5.01638
1.62294,1.62294,-0.00130,0.00462,1.62424,1.61831,8662.60,8631.00,10600,10600,5.01686
1.63845,1.63845,-0.00050,0.00565,1.63896,1.63281,8741.10,8708.30,10700,10700,5.01750
1.65358,1.65358,-0.00122,0.00461,1.65480,1.64897,8825.60,8794.50,10800,10800,5.01692
1.66894,1.66894,-0.00063,0.00526,1.66958,1.66369,8904.40,8873.00,10900,10900,5.01709
1.68422,1.68422,-0.00101,0.00491,1.68523,1.67931,8987.90,8956.30,11000,11000,5.01697
